rs_id 	 so_term 	 ensembl_gene_ids 	 gene_symbols 	 distance 	 is_regulatory
rs12148769 	 nearest_gene_five_prime_end 	 ENSG00000182636 	 NDN 	 -219616 	 
rs12149070 	 intron_variant 	 ENSG00000157423 	 HYDIN 	 0 	 
rs12149832 	 intron_variant 	 ENSG00000140718 	 FTO 	 0 	 
rs12149862 	 3_prime_UTR_variant 	 ENSG00000103018 	 CYB5B 	 0 	 
rs12150130 	 nearest_gene_five_prime_end 	 ENSG00000223510 	 CDRT15 	 -22897 	 
rs12150284 	 intron_variant 	 ENSG00000007237 	 GAS7 	 0 	 
rs12150338 	 synonymous_variant 	 ENSG00000167716 	 WDR81 	 0 	 
rs12150660 	 intron_variant 	 ENSG00000129214 	 SHBG 	 0 	 
rs12151790 	 nearest_gene_five_prime_end 	 ENSG00000188042 	 ARL4C 	 -194970 	 regulatory
rs12153048 	 nearest_gene_five_prime_end 	 ENSG00000092421 	 SEMA6A 	 -602974 	 
rs12153243 	 nearest_gene_five_prime_end 	 ENSG00000113580 	 NR3C1 	 -84723 	 
rs12153327 	 nearest_gene_five_prime_end 	 ENSG00000113532 	 ST8SIA4 	 -462629 	 
rs12153391 	 nearest_gene_five_prime_end 	 ENSG00000185662 	 SMIM23 	 -9438 	 
rs12153606 	 nearest_gene_five_prime_end 	 ENSG00000164176 	 EDIL3 	 -903157 	 
rs12153855 	 intron_variant 	 ENSG00000168477 	 TNXB 	 0 	 
rs12155172 	 nearest_gene_five_prime_end 	 ENSG00000164651 	 SP8 	 -167985 	 
rs12155400 	 intron_variant 	 ENSG00000048052 	 HDAC9 	 0 	 
rs12155623 	 nearest_gene_five_prime_end 	 ENSG00000019549 	 SNAI2 	 -22098 	 regulatory
rs12155789 	 intron_variant 	 ENSG00000134020 	 PEBP4 	 0 	 
rs12157904 	 upstream_gene_variant 	 ENSG00000100079 	 LGALS2 	 0 	 
rs12159200 	 nearest_gene_five_prime_end 	 ENSG00000196588 	 MKL1 	 -9384 	 regulatory
rs12173570 	 nearest_gene_five_prime_end 	 ENSG00000091831 	 ESR1 	 -20112 	 
rs12175489 	 intron_variant 	 ENSG00000204520 	 MICA 	 0 	 
rs1218282 	 nearest_gene_five_prime_end 	 ENSG00000152193 	 RNF219 	 -222517 	 
rs12185268 	 missense_variant 	 ENSG00000185294 	 SPPL2C 	 0 	 
rs12185468 	 nearest_gene_five_prime_end 	 ENSG00000206418 	 RAB12 	 -129758 	 
rs12185578 	 nearest_gene_five_prime_end 	 ENSG00000214842 	 RAD51AP2 	 -90467 	 regulatory
rs1218582 	 intron_variant 	 ENSG00000143603 	 KCNN3 	 0 	 
rs12186641 	 nearest_gene_five_prime_end 	 ENSG00000016082 	 ISL1 	 -484889 	 
rs12186945 	 nearest_gene_five_prime_end 	 ENSG00000168916 	 ZNF608 	 -515809 	 
rs12188164 	 intron_variant 	 ENSG00000063438 	 AHRR 	 0 	 
rs12188300 	 nearest_gene_five_prime_end 	 ENSG00000113302 	 IL12B 	 -71631 	 
rs12188351 	 intron_variant 	 ENSG00000184347 	 SLIT3 	 0 	 
rs12189362 	 intron_variant 	 ENSG00000155511 	 GRIA1 	 0 	 
rs12190007 	 nearest_gene_five_prime_end 	 ENSG00000186340 	 THBS2 	 -73461 	 
rs12190287 	 3_prime_UTR_variant 	 ENSG00000118526 	 TCF21 	 0 	 
rs12191877 	 intron_variant 	 ENSG00000204525 	 HLA-C 	 0 	 
rs12192947 	 intron_variant 	 ENSG00000146038 	 DCDC2 	 0 	 
rs12193281 	 intron_variant 	 ENSG00000065609 	 SNAP91 	 0 	 
rs12193446 	 intron_variant 	 ENSG00000196569 	 LAMA2 	 0 	 
rs12194062 	 intron_variant 	 ENSG00000172673 	 THEMIS 	 0 	 
rs1219414 	 nearest_gene_five_prime_end 	 ENSG00000259571 	 BLID 	 -189026 	 
rs12195036 	 nearest_gene_five_prime_end 	 ENSG00000112541 	 PDE10A 	 -51605 	 
rs12195230 	 intron_variant 	 ENSG00000186231 	 KLHL32 	 0 	 
rs12195574 	 intron_variant 	 ENSG00000112137 	 PHACTR1 	 0 	 
rs12195826 	 nearest_gene_five_prime_end 	 ENSG00000145949 	 MYLK4 	 -185448 	 
rs1219648 	 intron_variant 	 ENSG00000066468 	 FGFR2 	 0 	 
rs12196860 	 intron_variant 	 ENSG00000124749 	 COL21A1 	 0 	 
rs12198063 	 nearest_gene_five_prime_end 	 ENSG00000112706 	 IMPG1 	 -508403 	 
rs12198173 	 intron_variant 	 ENSG00000168477 	 TNXB 	 0 	 
rs12198798 	 nearest_gene_five_prime_end 	 ENSG00000112137 	 PHACTR1 	 -206910 	 
rs12198986 	 nearest_gene_five_prime_end 	 ENSG00000153162 	 BMP6 	 -6971 	 
rs12199015 	 intron_variant 	 ENSG00000154269 	 ENPP3 	 0 	 
rs12199222 	 intron_variant 	 ENSG00000124789 	 NUP153 	 0 	 
rs12199775 	 intron_variant 	 ENSG00000112419 	 PHACTR2 	 0 	 
rs12200560 	 nearest_gene_five_prime_end 	 ENSG00000112214 	 FHL5 	 -69773 	 
rs12201676 	 nearest_gene_five_prime_end 	 ENSG00000146278 	 PNRC1 	 -58369 	 regulatory
rs12202284 	 nearest_gene_five_prime_end 	 ENSG00000137265 	 IRF4 	 -79396 	 
rs12202969 	 nearest_gene_five_prime_end 	 ENSG00000184486 	 POU3F2 	 -706245 	 
rs12203592 	 intron_variant 	 ENSG00000137265 	 IRF4 	 0 	 
rs12204127 	 intron_variant 	 ENSG00000112182 	 BACH2 	 0 	 
rs12204683 	 nearest_gene_five_prime_end 	 ENSG00000135338 	 LCA5 	 -90916 	 
rs12205331 	 intron_variant 	 ENSG00000064999 	 ANKS1A 	 0 	 
rs12205363 	 intron_variant 	 ENSG00000196569 	 LAMA2 	 0 	 
rs12206204 	 intron_variant 	 ENSG00000276410,ENSG00000180596 	 HIST1H2BB,HIST1H2BC 	 0 	 
rs12207186 	 intron_variant 	 ENSG00000185345 	 PARK2 	 0 	 
rs12207601 	 intron_variant 	 ENSG00000164418 	 GRIK2 	 0 	 
rs12207675 	 nearest_gene_five_prime_end 	 ENSG00000118407 	 FILIP1 	 -34286 	 
rs12209128 	 intron_variant 	 ENSG00000244694 	 PTCHD4 	 0 	 
rs12209223 	 intron_variant 	 ENSG00000118407 	 FILIP1 	 0 	 
rs12209877 	 intron_variant 	 ENSG00000145996 	 CDKAL1 	 0 	 
rs12210050 	 nearest_gene_five_prime_end 	 ENSG00000137265 	 IRF4 	 -83749 	 
rs12210733 	 nearest_gene_five_prime_end 	 ENSG00000198523 	 PLN 	 -216386 	 
rs12210761 	 intron_variant 	 ENSG00000181355 	 OFCC1 	 0 	 
rs12210810 	 nearest_gene_five_prime_end 	 ENSG00000198523 	 PLN 	 -216257 	 
rs12211360 	 intron_variant 	 ENSG00000010818 	 HIVEP2 	 0 	 
rs12212193 	 intron_variant 	 ENSG00000112182 	 BACH2 	 0 	 
rs12212674 	 nearest_gene_five_prime_end 	 ENSG00000172179 	 PRL 	 -210656 	 
rs12213468 	 nearest_gene_five_prime_end 	 ENSG00000049618 	 ARID1B 	 -440666 	 
rs12213875 	 nearest_gene_five_prime_end 	 ENSG00000112149 	 CD83 	 -469515 	 
rs12214416 	 nearest_gene_five_prime_end 	 ENSG00000146477 	 SLC22A3 	 -141216 	 
rs12214804 	 nearest_gene_five_prime_end 	 ENSG00000137309 	 HMGA1 	 -15784 	 
rs12215208 	 intron_variant 	 ENSG00000112137 	 PHACTR1 	 0 	 
rs12216125 	 nearest_gene_five_prime_end 	 ENSG00000124610 	 HIST1H1A 	 -20502 	 
rs12216499 	 nearest_gene_five_prime_end 	 ENSG00000130363 	 RSPH3 	 -52695 	 
rs12216812 	 nearest_gene_five_prime_end 	 ENSG00000164687 	 FABP5 	 -40851 	 
rs12219125 	 nearest_gene_five_prime_end 	 ENSG00000120594 	 PLXDC2 	 -487918 	 
rs1222043 	 nearest_gene_five_prime_end 	 ENSG00000117569 	 PTBP2 	 -561724 	 
rs12220488 	 intron_variant 	 ENSG00000138311 	 ZNF365 	 0 	 
rs12220777 	 nearest_gene_five_prime_end 	 ENSG00000133661 	 SFTPD 	 -45733 	 
rs12220898 	 intron_variant 	 ENSG00000165606 	 DRGX 	 0 	 
rs12229654 	 nearest_gene_five_prime_end 	 ENSG00000111245 	 MYL2 	 -55934 	 
rs12229663 	 intron_variant 	 ENSG00000153233 	 PTPRR 	 0 	 
rs12229918 	 intron_variant 	 ENSG00000174099 	 MSRB3 	 0 	 
rs12230440 	 intron_variant 	 ENSG00000006831 	 ADIPOR2 	 0 	 
rs12230513 	 nearest_gene_five_prime_end 	 ENSG00000179626 	 OR6C4 	 -28203 	 
rs1223245 	 intron_variant 	 ENSG00000255835,ENSG00000243709 	 RP4-559A3.7,LEFTY1 	 0 	 
rs1223271 	 nearest_gene_five_prime_end 	 ENSG00000101230 	 ISM1 	 -94493 	 
rs1223397 	 intron_variant 	 ENSG00000145979,ENSG00000112137 	 TBC1D7,PHACTR1 	 0 	 
rs12234571 	 intron_variant 	 ENSG00000006576 	 PHTF2 	 0 	 
rs1223629 	 intron_variant 	 ENSG00000138193 	 PLCE1 	 0 	 
rs12237653 	 nearest_gene_five_prime_end 	 ENSG00000147852 	 VLDLR 	 -70180 	 
rs12239046 	 intron_variant 	 ENSG00000162711 	 NLRP3 	 0 	 
rs12239436 	 nearest_gene_five_prime_end 	 ENSG00000162402 	 USP24 	 -62050 	 regulatory
rs12241008 	 intron_variant 	 ENSG00000151532 	 VTI1A 	 0 	 
rs12242110 	 upstream_gene_variant 	 ENSG00000108100 	 CCNY 	 0 	 
rs12243039 	 intron_variant 	 ENSG00000078114 	 NEBL 	 0 	 
rs12243326 	 intron_variant 	 ENSG00000148737 	 TCF7L2 	 0 	 
rs12245299 	 intron_variant 	 ENSG00000150275 	 PCDH15 	 0 	 
rs12246027 	 downstream_gene_variant 	 ENSG00000151240 	 DIP2C 	 0 	 
rs12249377 	 intron_variant 	 ENSG00000148680 	 HTR7 	 0 	 
rs12249434 	 nearest_gene_five_prime_end 	 ENSG00000175535 	 PNLIP 	 -6737 	 
rs12251307 	 nearest_gene_five_prime_end 	 ENSG00000134453 	 RBM17 	 -7455 	 
rs12251332 	 intron_variant 	 ENSG00000183230 	 CTNNA3 	 0 	 
rs12251514 	 intron_variant 	 ENSG00000198964 	 SGMS1 	 0 	 
rs12252129 	 intron_variant 	 ENSG00000128815 	 WDFY4 	 0 	 
rs12256830 	 nearest_gene_five_prime_end 	 ENSG00000165471 	 MBL2 	 -853282 	 
rs12256987 	 nearest_gene_five_prime_end 	 ENSG00000148468 	 FAM171A1 	 -102905 	 
rs12258967 	 intron_variant 	 ENSG00000165995 	 CACNB2 	 0 	 
rs12261589 	 nearest_gene_five_prime_end 	 ENSG00000156113 	 KCNMA1 	 -142481 	 
rs12261764 	 nearest_gene_five_prime_end 	 ENSG00000120008 	 WDR11 	 -88306 	 
rs12261843 	 intron_variant 	 ENSG00000108100 	 CCNY 	 0 	 
rs12263766 	 nearest_gene_five_prime_end 	 ENSG00000048740 	 CELF2 	 -1050294 	 
rs12265836 	 nearest_gene_five_prime_end 	 ENSG00000148429 	 USP6NL 	 -65256 	 
rs12266096 	 nearest_gene_five_prime_end 	 ENSG00000107771 	 CCSER2 	 -632838 	 
rs12269901 	 nearest_gene_five_prime_end 	 ENSG00000160584 	 SIK3 	 -4775 	 
rs12270115 	 nearest_gene_five_prime_end 	 ENSG00000149256 	 TENM4 	 -333144 	 
rs12272004 	 nearest_gene_five_prime_end 	 ENSG00000137656 	 BUD13 	 -39980 	 regulatory
rs12272917 	 intron_variant 	 ENSG00000110075 	 PPP6R3 	 0 	 
rs12273350 	 intron_variant 	 ENSG00000165495 	 PKNOX2 	 0 	 
rs12274302 	 nearest_gene_five_prime_end 	 ENSG00000110172 	 CHORDC1 	 -630367 	 
rs1227756 	 intron_variant 	 ENSG00000197467 	 COL13A1 	 0 	 
rs12279250 	 intron_variant 	 ENSG00000165973 	 NELL1 	 0 	 
rs12279261 	 intron_variant 	 ENSG00000149294 	 NCAM1 	 0 	 
rs1227969 	 intron_variant 	 ENSG00000099282 	 TSPAN15 	 0 	 
rs12280105 	 downstream_gene_variant 	 ENSG00000204300 	 TMEM225 	 0 	 
rs12280753 	 nearest_gene_five_prime_end 	 ENSG00000137656 	 BUD13 	 -30044 	 regulatory
rs12282 	 3_prime_UTR_variant 	 ENSG00000090615 	 GOLGA3 	 0 	 
rs12282107 	 missense_variant 	 ENSG00000110013 	 SIAE 	 0 	 
rs12282742 	 intron_variant 	 ENSG00000255071,ENSG00000134339 	 SAA2-SAA4,SAA2 	 0 	 
rs12282928 	 downstream_gene_variant 	 ENSG00000176555 	 OR4S1 	 0 	 
rs12283022 	 intron_variant 	 ENSG00000187240 	 DYNC2H1 	 0 	 
rs12283611 	 intron_variant 	 ENSG00000150672 	 DLG2 	 0 	 
rs12284594 	 intron_variant 	 ENSG00000165495 	 PKNOX2 	 0 	 
rs12285276 	 nearest_gene_five_prime_end 	 ENSG00000181830 	 SLC35C1 	 -12042 	 
rs12286037 	 intron_variant 	 ENSG00000109917 	 ZPR1 	 0 	 
rs12286929 	 nearest_gene_five_prime_end 	 ENSG00000182985 	 CADM1 	 -353273 	 
rs12287212 	 nearest_gene_five_prime_end 	 ENSG00000133818 	 RRAS2 	 -63808 	 
rs12288023 	 upstream_gene_variant 	 ENSG00000132744 	 ACY3 	 0 	 
rs12288512 	 nearest_gene_five_prime_end 	 ENSG00000176697 	 BDNF 	 -4065 	 
rs12289961 	 nearest_gene_five_prime_end 	 ENSG00000172772 	 OR10W1 	 -24459 	 
rs12290811 	 intron_variant 	 ENSG00000149256 	 TENM4 	 0 	 
rs12292796 	 nearest_gene_five_prime_end 	 ENSG00000148948 	 LRRC4C 	 -2055224 	 
rs12294076 	 intron_variant 	 ENSG00000187240 	 DYNC2H1 	 0 	 
rs12294104 	 nearest_gene_five_prime_end 	 ENSG00000152219 	 ARL14EP 	 -38300 	 
rs12295403 	 nearest_gene_five_prime_end 	 ENSG00000151117 	 TMEM86A 	 -25016 	 
rs1229542 	 nearest_gene_five_prime_end 	 ENSG00000006128 	 TAC1 	 -61705 	 
rs12295638 	 intron_variant 	 ENSG00000134343 	 ANO3 	 0 	 
rs12296050 	 intron_variant 	 ENSG00000053918 	 KCNQ1 	 0 	 
rs12296063 	 intron_variant 	 ENSG00000180773 	 SLC36A4 	 0 	 
rs12296850 	 downstream_gene_variant 	 ENSG00000179520 	 SLC17A8 	 0 	 
rs12296937 	 intron_variant 	 ENSG00000111058 	 ACSS3 	 0 	 
rs12297524 	 nearest_gene_five_prime_end 	 ENSG00000181234 	 TMEM132C 	 -15426 	 
rs12298826 	 intron_variant 	 ENSG00000139697 	 SBNO1 	 0 	 
rs1229984 	 missense_variant 	 ENSG00000196616 	 ADH1B 	 0 	 
rs12300899 	 upstream_gene_variant 	 ENSG00000081760 	 AACS 	 0 	 
rs12302103 	 nearest_gene_five_prime_end 	 ENSG00000111266 	 DUSP16 	 -13998 	 regulatory
rs12302829 	 nearest_gene_five_prime_end 	 ENSG00000130037 	 KCNA5 	 -12671 	 
rs12303914 	 3_prime_UTR_variant 	 ENSG00000134539 	 KLRD1 	 0 	 
rs12304921 	 intron_variant 	 ENSG00000214511 	 HIGD1C 	 0 	 
rs1230666 	 intron_variant 	 ENSG00000081026 	 MAGI3 	 0 	 
rs12307997 	 nearest_gene_five_prime_end 	 ENSG00000184344 	 GDF3 	 -6898 	 
rs12309274 	 intron_variant 	 ENSG00000060237 	 WNK1 	 0 	 
rs12310399 	 intron_variant 	 ENSG00000180263 	 FGD6 	 0 	 
rs12311304 	 intron_variant 	 ENSG00000134533 	 RERG 	 0 	 
rs1231206 	 intron_variant 	 ENSG00000070366 	 SMG6 	 0 	 
rs12313946 	 nearest_gene_five_prime_end 	 ENSG00000127314 	 RAP1B 	 -43035 	 
rs12316703 	 nearest_gene_five_prime_end 	 ENSG00000111707 	 SUDS3 	 -26271 	 
rs12316797 	 nearest_gene_five_prime_end 	 ENSG00000139174 	 PRICKLE1 	 -176586 	 
rs12317268 	 intron_variant 	 ENSG00000134538 	 SLCO1B1 	 0 	 
rs12317459 	 intron_variant 	 ENSG00000179104 	 TMTC2 	 0 	 
rs1231831 	 intron_variant 	 ENSG00000163618 	 CADPS 	 0 	 
rs12318506 	 intron_variant 	 ENSG00000180881 	 CAPS2 	 0 	 
rs12319113 	 nearest_gene_five_prime_end 	 ENSG00000177938 	 CAPZA3 	 -133522 	 
rs12321565 	 nearest_gene_five_prime_end 	 ENSG00000111537 	 IFNG 	 -21450 	 
rs12321906 	 intron_variant 	 ENSG00000267281,ENSG00000170653 	 RP11-793H13.10,ATF7 	 0 	 
rs12322695 	 intron_variant 	 ENSG00000135119 	 RNFT2 	 0 	 
rs12324805 	 nearest_gene_five_prime_end 	 ENSG00000183496 	 MEX3B 	 -13717 	 
rs12325245 	 nearest_gene_five_prime_end 	 ENSG00000125107 	 CNOT1 	 -17602 	 
rs12325410 	 nearest_gene_five_prime_end 	 ENSG00000182831 	 C16orf72 	 -489740 	 
rs12326088 	 nearest_gene_five_prime_end 	 ENSG00000206026 	 SMIM21 	 -367910 	 
rs12327666 	 intron_variant 	 ENSG00000171136 	 RLN3 	 0 	 
rs12328675 	 3_prime_UTR_variant 	 ENSG00000082438 	 COBLL1 	 0 	 
rs12330322 	 intron_variant 	 ENSG00000163602 	 RYBP 	 0 	 
rs12336160 	 downstream_gene_variant 	 ENSG00000086065 	 CHMP5 	 0 	 
rs12338076 	 intron_variant 	 ENSG00000165661 	 QSOX2 	 0 	 
rs12339094 	 nearest_gene_five_prime_end 	 ENSG00000135047 	 CTSL 	 -69787 	 
rs12340987 	 nearest_gene_five_prime_end 	 ENSG00000148053 	 NTRK2 	 -487460 	 
rs12342373 	 intron_variant 	 ENSG00000136944 	 LMX1B 	 0 	 
rs12342831 	 intron_variant 	 ENSG00000086062 	 B4GALT1 	 0 	 
rs12344488 	 nearest_gene_five_prime_end 	 ENSG00000099139 	 PCSK5 	 -79635 	 
rs12344583 	 intron_variant 	 ENSG00000160293 	 VAV2 	 0 	 
rs12345625 	 nearest_gene_five_prime_end 	 ENSG00000122729 	 ACO1 	 -905596 	 
rs12346772 	 nearest_gene_five_prime_end 	 ENSG00000198121 	 LPAR1 	 -119860 	 
rs12348435 	 intron_variant 	 ENSG00000174482 	 LINGO2 	 0 	 
rs12350534 	 downstream_gene_variant 	 ENSG00000180447 	 GAS1 	 0 	 
rs12351590 	 nearest_gene_five_prime_end 	 ENSG00000107165 	 TYRP1 	 -576523 	 
rs12352279 	 intron_variant 	 ENSG00000107104 	 KANK1 	 0 	 
rs12355688 	 nearest_gene_five_prime_end 	 ENSG00000108179 	 PPIF 	 -51600 	 
rs12355784 	 intron_variant 	 ENSG00000171988 	 JMJD1C 	 0 	 
rs12355831 	 intron_variant 	 ENSG00000023041 	 ZDHHC6 	 0 	 
rs12356193 	 intron_variant 	 ENSG00000165449 	 SLC16A9 	 0 	 
rs12358475 	 nearest_gene_five_prime_end 	 ENSG00000148426 	 PROSER2 	 -16546 	 
rs12358699 	 nearest_gene_five_prime_end 	 ENSG00000165512 	 ZNF22 	 -57805 	 
rs12360000 	 nearest_gene_five_prime_end 	 ENSG00000185736 	 ADARB2 	 -118307 	 
rs12361953 	 intron_variant 	 ENSG00000187398 	 LUZP2 	 0 	 
rs12364177 	 nearest_gene_five_prime_end 	 ENSG00000255359 	 CCDC179 	 -17004 	 
rs12364992 	 nearest_gene_five_prime_end 	 ENSG00000152402 	 GUCY1A2 	 -366026 	 
rs12365397 	 nearest_gene_five_prime_end 	 ENSG00000166181 	 API5 	 -97452 	 
rs12367448 	 nearest_gene_five_prime_end 	 ENSG00000111605 	 CPSF6 	 -52095 	 
rs12367822 	 nearest_gene_five_prime_end 	 ENSG00000198056 	 PRIM1 	 -58002 	 
rs12368653 	 intron_variant 	 ENSG00000135439 	 AGAP2 	 0 	 
rs12369635 	 intron_variant 	 ENSG00000151952 	 TMEM132D 	 0 	 
rs12371778 	 nearest_gene_five_prime_end 	 ENSG00000087494 	 PTHLH 	 -30442 	 
rs12373124 	 synonymous_variant 	 ENSG00000185294 	 SPPL2C 	 0 	 
rs12373805 	 intron_variant 	 ENSG00000171132 	 PRKCE 	 0 	 
rs12374220 	 intron_variant 	 ENSG00000218336 	 TENM3 	 0 	 
rs12377462 	 nearest_gene_five_prime_end 	 ENSG00000137074 	 APTX 	 -110577 	 
rs12379034 	 intron_variant 	 ENSG00000136861 	 CDK5RAP2 	 0 	 
rs12380424 	 splice_region_variant 	 ENSG00000119333 	 WDR34 	 0 	 
rs12386026 	 intron_variant 	 ENSG00000140945 	 CDH13 	 0 	 
rs12386622 	 intron_variant 	 ENSG00000221866 	 PLXNA4 	 0 	 
rs12388359 	 nearest_gene_five_prime_end 	 ENSG00000073464 	 CLCN4 	 -106705 	 
rs12393627 	 intron_variant 	 ENSG00000157399 	 ARSE 	 0 	 
rs1239947 	 nearest_gene_five_prime_end 	 ENSG00000186047 	 DLEU7 	 -311520 	 
rs1239954 	 nearest_gene_five_prime_end 	 ENSG00000186047 	 DLEU7 	 -298938 	 
rs12401738 	 intron_variant 	 ENSG00000162616 	 DNAJB4 	 0 	 
rs12402265 	 nearest_gene_five_prime_end 	 ENSG00000172456 	 FGGY 	 -71708 	 
rs12403795 	 intron_variant 	 ENSG00000266472 	 MRPS21 	 0 	 
rs12406092 	 intron_variant 	 ENSG00000198734 	 F5 	 0 	 
rs12407028 	 intron_variant 	 ENSG00000116729 	 WLS 	 0 	 
rs1240773 	 nearest_gene_five_prime_end 	 ENSG00000137656 	 BUD13 	 -123178 	 
rs12408810 	 nearest_gene_five_prime_end 	 ENSG00000198890 	 PRMT6 	 -958358 	 
rs12409639 	 intron_variant 	 ENSG00000158715 	 SLC45A3 	 0 	 
rs12410416 	 intron_variant 	 ENSG00000197959 	 DNM3 	 0 	 
rs12410462 	 nearest_gene_five_prime_end 	 ENSG00000181450 	 ZNF678 	 -83454 	 
rs12411277 	 nearest_gene_five_prime_end 	 ENSG00000143353 	 LYPLAL1 	 -371711 	 
rs12411769 	 nearest_gene_five_prime_end 	 ENSG00000154473 	 BUB3 	 -55207 	 
rs12411988 	 intron_variant 	 ENSG00000165476 	 REEP3 	 0 	 
rs12412391 	 nearest_gene_five_prime_end 	 ENSG00000119919 	 NKX2-3 	 -3755 	 
rs12413355 	 intron_variant 	 ENSG00000151892 	 GFRA1 	 0 	 
rs12413361 	 nearest_gene_five_prime_end 	 ENSG00000151033 	 LYZL2 	 -208474 	 
rs12413409 	 intron_variant 	 ENSG00000148842 	 CNNM2 	 0 	 
rs12413578 	 nearest_gene_five_prime_end 	 ENSG00000107485 	 GATA3 	 -953685 	 
rs12413624 	 nearest_gene_five_prime_end 	 ENSG00000119973 	 PRLHR 	 -76267 	 
rs12413935 	 nearest_gene_five_prime_end 	 ENSG00000165678 	 GHITM 	 -445276 	 
rs12414342 	 nearest_gene_five_prime_end 	 ENSG00000176769 	 TCERG1L 	 -179920 	 
rs12416687 	 nearest_gene_five_prime_end 	 ENSG00000214435 	 AS3MT 	 -262 	 
rs12416860 	 upstream_gene_variant 	 ENSG00000197790 	 OR52M1 	 0 	 
rs12418204 	 nearest_gene_five_prime_end 	 ENSG00000162129 	 CLPB 	 -104398 	 
rs12419342 	 intron_variant 	 ENSG00000165917 	 RAPSN 	 0 	 
rs12420464 	 intron_variant 	 ENSG00000175390 	 EIF3F 	 0 	 
rs12420642 	 upstream_gene_variant 	 ENSG00000124939 	 SCGB2A1 	 0 	 
rs12421382 	 nearest_gene_five_prime_end 	 ENSG00000185742 	 C11orf87 	 -85224 	 
rs12421680 	 intron_variant 	 ENSG00000182667 	 NTM 	 0 	 
rs12422267 	 nearest_gene_five_prime_end 	 ENSG00000185163 	 DDX51 	 -27284 	 
rs12422552 	 nearest_gene_five_prime_end 	 ENSG00000171681 	 ATF7IP 	 -104635 	 regulatory
rs12423247 	 nearest_gene_five_prime_end 	 ENSG00000188596 	 CFAP54 	 -24987 	 
rs12423712 	 intron_variant 	 ENSG00000196498 	 NCOR2 	 0 	 
rs12424086 	 downstream_gene_variant 	 ENSG00000149948 	 HMGA2 	 0 	 
rs12425131 	 nearest_gene_five_prime_end 	 ENSG00000179104 	 TMTC2 	 -95780 	 
rs12425451 	 nearest_gene_five_prime_end 	 ENSG00000011105 	 TSPAN9 	 -21598 	 
rs12425791 	 nearest_gene_five_prime_end 	 ENSG00000171840 	 NINJ2 	 -10538 	 
rs12426725 	 intron_variant 	 ENSG00000139220 	 PPFIA2 	 0 	 
rs12427353 	 intron_variant 	 ENSG00000135100 	 HNF1A 	 0 	 
rs12428035 	 upstream_gene_variant 	 ENSG00000134874 	 DZIP1 	 0 	 
rs12428086 	 intron_variant 	 ENSG00000133083 	 DCLK1 	 0 	 
rs12429252 	 nearest_gene_five_prime_end 	 ENSG00000102781 	 KATNAL1 	 -34641 	 
rs12429545 	 nearest_gene_five_prime_end 	 ENSG00000102837 	 OLFM4 	 -499311 	 
rs12429889 	 nearest_gene_five_prime_end 	 ENSG00000118922 	 KLF12 	 -34279 	 
rs12430077 	 nearest_gene_five_prime_end 	 ENSG00000253797 	 UTP14C 	 -10380 	 
rs12431307 	 nearest_gene_five_prime_end 	 ENSG00000136158 	 SPRY2 	 -270468 	 regulatory
rs12431702 	 intron_variant 	 ENSG00000184304 	 PRKD1 	 0 	 
rs12431733 	 nearest_gene_five_prime_end 	 ENSG00000125378 	 BMP4 	 -134649 	 
rs1243180 	 intron_variant 	 ENSG00000078403 	 MLLT10 	 0 	 
rs12432260 	 nearest_gene_five_prime_end 	 ENSG00000165959 	 CLMN 	 -62050 	 
rs12434047 	 nearest_gene_five_prime_end 	 ENSG00000100523 	 DDHD1 	 -217484 	 
rs12436436 	 nearest_gene_five_prime_end 	 ENSG00000157326 	 DHRS4 	 -41280 	 
rs1243647 	 missense_variant 	 ENSG00000188655 	 RNASE9 	 0 	 
rs12436689 	 nearest_gene_five_prime_end 	 ENSG00000185070 	 FLRT2 	 -342469 	 
rs1243704 	 nearest_gene_five_prime_end 	 ENSG00000188655 	 RNASE9 	 -24028 	 
rs12437854 	 nearest_gene_five_prime_end 	 ENSG00000182175 	 RGMA 	 -509399 	 
rs12438945 	 nearest_gene_five_prime_end 	 ENSG00000137876 	 RSL24D1 	 -262695 	 
rs12441227 	 intron_variant 	 ENSG00000187720 	 THSD4 	 0 	 
rs12443954 	 downstream_gene_variant 	 ENSG00000167523 	 SPATA33 	 0 	 
rs12444261 	 upstream_gene_variant 	 ENSG00000189067 	 LITAF 	 0 	 
rs12444268 	 upstream_gene_variant 	 ENSG00000169347 	 GP2 	 0 	 
rs12444931 	 intron_variant 	 ENSG00000078328 	 RBFOX1 	 0 	 
rs12444979 	 nearest_gene_five_prime_end 	 ENSG00000167191 	 GPRC5B 	 -36110 	 
rs12445126 	 nearest_gene_five_prime_end 	 ENSG00000103489 	 XYLT1 	 -174953 	 
rs12446289 	 nearest_gene_five_prime_end 	 ENSG00000232258 	 TMEM114 	 -736586 	 
rs12446301 	 intron_variant 	 ENSG00000140945 	 CDH13 	 0 	 
rs12446319 	 intron_variant 	 ENSG00000197943 	 PLCG2 	 0 	 
rs12446492 	 intron_variant 	 ENSG00000169340 	 PDILT 	 0 	 
rs12446554 	 nearest_gene_five_prime_end 	 ENSG00000167191 	 GPRC5B 	 -37583 	 
rs12446632 	 nearest_gene_five_prime_end 	 ENSG00000167191 	 GPRC5B 	 -37899 	 
rs12446940 	 nearest_gene_five_prime_end 	 ENSG00000005339 	 CREBBP 	 -31892 	 
